e1,r,e2,extracted_from,layer
会计概念,instance_of,银团费用,2,2.1
会计概念,instance_of,银行存单,2,2.1
会计概念,instance_of,销货折扣,2,2.1
会计概念,instance_of,销货折承,2,2.1
会计概念,instance_of,长期借贷,2,2.1
会计概念,instance_of,长期存款,2,2.1
会计概念,instance_of,长期票据,2,2.1
会计概念,instance_of,长期股本,2,2.1
会计概念,instance_of,长期贷款,2,2.1
会计概念,instance_of,防控物资,2,2.1
会计概念,instance_of,随附库存,2,2.1
会计概念,instance_of,随附材料,2,2.1
会计概念,instance_of,随附贷款,2,2.1
会计概念,instance_of,随附资料,2,2.1
会计概念,instance_of,集使资产,2,2.1
会计概念,instance_of,项目利润,2,2.1
会计概念,instance_of,项目报表,2,2.1
会计概念,instance_of,预借现金,2,2.1
会计概念,instance_of,预提借款,2,2.1
会计概念,instance_of,预提利息,2,2.1
会计概念,instance_of,预提电费,2,2.1
会计概念,instance_of,预算报表,2,2.1
会计概念,instance_of,预算收益,2,2.1
会计概念,instance_of,预计收益,2,2.1
审计人员,instance_of,张通代表,2,2.1
审计人员,instance_of,注册会计,2,2.1
审计依据,instance_of,关于加强,2,2.1
审计依据,instance_of,协调制度,2,2.1
审计依据,instance_of,精算报告,2,2.1
审计依据,instance_of,纪律条例,2,2.1
审计依据,instance_of,纳税纪录,2,2.1
审计依据,instance_of,纳税记录,2,2.1
审计成果,instance_of,企业意见,2,2.1
审计成果,instance_of,会审意见,2,2.1
审计成果,instance_of,内审意见,2,2.1
审计成果,instance_of,初审意见,2,2.1
审计成果,instance_of,办理意见,2,2.1
审计成果,instance_of,受理意见,2,2.1
审计成果,instance_of,处理意见,2,2.1
审计成果,instance_of,委员意见,2,2.1
审计成果,instance_of,审定意见,2,2.1
审计成果,instance_of,审查决定,2,2.1
审计成果,instance_of,审查意见,2,2.1
审计成果,instance_of,审核意见,2,2.1
审计成果,instance_of,审理报告,2,2.1
审计成果,instance_of,审计决策,2,2.1
审计成果,instance_of,审计师意,2,2.1
审计成果,instance_of,审计报表,2,2.1
审计成果,instance_of,审议意见,2,2.1
审计成果,instance_of,批示意见,2,2.1
审计成果,instance_of,报告意见,2,2.1
审计成果,instance_of,抽审意见,2,2.1
审计成果,instance_of,未审报表,2,2.1
审计成果,instance_of,标准意见,2,2.1
审计成果,instance_of,检察意见,2,2.1
审计成果,instance_of,检查意见,2,2.1
审计成果,instance_of,法律意见,2,2.1
审计成果,instance_of,消防意见,2,2.1
审计成果,instance_of,申辩意见,2,2.1
审计成果,instance_of,监管意见,2,2.1
审计成果,instance_of,答辩意见,2,2.1
审计成果,instance_of,终审意见,2,2.1
审计成果,instance_of,虚假意见,2,2.1
审计成果,instance_of,论证意见,2,2.1
审计成果,instance_of,评审意见,2,2.1
审计成果,instance_of,评标意见,2,2.1
审计成果,instance_of,评论意见,2,2.1
审计成果,instance_of,调查意见,2,2.1
审计成果,instance_of,质证意见,2,2.1
审计成果,instance_of,选址意见,2,2.1
审计成果,instance_of,陈述意见,2,2.1
审计成果,instance_of,预审意见,2,2.1
审计方法,instance_of,临床检查,2,2.1
审计方法,instance_of,交叉询问,2,2.1
审计方法,instance_of,人次分析,2,2.1
审计方法,instance_of,价格分析,2,2.1
审计方法,instance_of,企业资产,2,2.1
审计方法,instance_of,会计分析,2,2.1
审计方法,instance_of,会计核查,2,2.1
审计方法,instance_of,估值分析,2,2.1
审计方法,instance_of,入户检查,2,2.1
审计方法,instance_of,内业测试,2,2.1
审计方法,instance_of,内控检查,2,2.1
审计方法,instance_of,决算分析,2,2.1
审计方法,instance_of,函询稽核,2,2.1
审计方法,instance_of,分析分析,2,2.1
审计方法,instance_of,分析监测,2,2.1
审计方法,instance_of,分析过程,2,2.1
审计方法,instance_of,分析验证,2,2.1
审计方法,instance_of,分类查看,2,2.1
审计方法,instance_of,分类统计,2,2.1
审计方法,instance_of,变化趋势,2,2.1
审计方法,instance_of,存货抽盘,2,2.1
审计方法,instance_of,存货监盘,2,2.1
审计方法,instance_of,实地检查,2,2.1
审计方法,instance_of,实施检查,2,2.1
审计方法,instance_of,实行检查,2,2.1
审计方法,instance_of,实质性测,2,2.1
审计方法,instance_of,实质检查,2,2.1
审计方法,instance_of,实质测试,2,2.1
审计方法,instance_of,对比分析,2,2.1
审计方法,instance_of,巡查稽核,2,2.1
审计方法,instance_of,差异分析,2,2.1
审计方法,instance_of,差异调查,2,2.1
审计方法,instance_of,差错分析,2,2.1
审计方法,instance_of,帐实核对,2,2.1
审计方法,instance_of,帐目测试,2,2.1
审计方法,instance_of,平衡分析,2,2.1
审计方法,instance_of,开展检查,2,2.1
审计方法,instance_of,总体分类,2,2.1
审计方法,instance_of,总体查看,2,2.1
审计方法,instance_of,情况分析,2,2.1
审计方法,instance_of,成分分析,2,2.1
审计方法,instance_of,截止检查,2,2.1
审计方法,instance_of,数据统计,2,2.1
审计方法,instance_of,数理统计,2,2.1
审计方法,instance_of,明细分析,2,2.1
审计方法,instance_of,构成分析,2,2.1
审计方法,instance_of,查检查对,2,2.1
审计方法,instance_of,核查验证,2,2.1
审计方法,instance_of,档案查看,2,2.1
审计方法,instance_of,检查内容,2,2.1
审计方法,instance_of,检查咨询,2,2.1
审计方法,instance_of,检查核对,2,2.1
审计方法,instance_of,检查检测,2,2.1
审计方法,instance_of,检查检验,2,2.1
审计方法,instance_of,检查验证,2,2.1
审计方法,instance_of,检测分析,2,2.1
审计方法,instance_of,比较分析,2,2.1
审计方法,instance_of,特点分析,2,2.1
审计方法,instance_of,现场勘查,2,2.1
审计方法,instance_of,现场查勘,2,2.1
审计方法,instance_of,现场检柿,2,2.1
审计方法,instance_of,现场检测,2,2.1
审计方法,instance_of,现场检验,2,2.1
审计方法,instance_of,现场测试,2,2.1
审计方法,instance_of,现场见证,2,2.1
审计方法,instance_of,现场验证,2,2.1
审计方法,instance_of,现金监盘,2,2.1
审计方法,instance_of,监测分析,2,2.1
审计方法,instance_of,监测统计,2,2.1
审计方法,instance_of,监盘监盘,2,2.1
审计方法,instance_of,税务检查,2,2.1
审计方法,instance_of,细节测试,2,2.1
审计方法,instance_of,统计分析,2,2.1
审计方法,instance_of,统计测算,2,2.1
审计方法,instance_of,统计监测,2,2.1
审计方法,instance_of,统计计算,2,2.1
审计方法,instance_of,血液分析,2,2.1
审计方法,instance_of,询问质询,2,2.1
审计方法,instance_of,误差分析,2,2.1
审计方法,instance_of,负债结构,2,2.1
审计方法,instance_of,账实核对,2,2.1
审计方法,instance_of,资料统计,2,2.1
审计方法,instance_of,进入检查,2,2.1
审计方法,instance_of,进户检查,2,2.1
审计方法,instance_of,进行检柿,2,2.1
审计方法,instance_of,重新估价,2,2.1
审计方法,instance_of,重新分析,2,2.1
审计方法,instance_of,重新匡算,2,2.1
审计方法,instance_of,重新处理,2,2.1
审计方法,instance_of,重新操作,2,2.1
审计方法,instance_of,重新检查,2,2.1
审计方法,instance_of,重新测算,2,2.1
审计方法,instance_of,重新测试,2,2.1
审计方法,instance_of,重新盘点,2,2.1
审计方法,instance_of,重新考察,2,2.1
审计方法,instance_of,重新计算,2,2.1
审计方法,instance_of,重新询价,2,2.1
审计方法,instance_of,重新起算,2,2.1
审计方法,instance_of,重新验证,2,2.1
审计方法,instance_of,预测分析,2,2.1
审计方法,instance_of,预算分析,2,2.1
审计机构,instance_of,区域审计,2,2.1
审计机构,instance_of,审计分局,2,2.1
审计机构,instance_of,审计署《,2,2.1
审计机构,instance_of,审计署驻,2,2.1
审计机构,instance_of,特派办在,2,2.1
审计疑点,instance_of,一户多次,2,2.1
审计疑点,instance_of,不按规定,2,2.1
审计疑点,instance_of,严重不符,2,2.1
审计疑点,instance_of,串通投标,2,2.1
审计疑点,instance_of,乱发钱物,2,2.1
审计疑点,instance_of,乱挤成本,2,2.1
审计疑点,instance_of,乱排乱放,2,2.1
审计疑点,instance_of,乱摊成本,2,2.1
审计疑点,instance_of,乱铺摊子,2,2.1
审计疑点,instance_of,互相担保,2,2.1
审计疑点,instance_of,价外收费,2,2.1
审计疑点,instance_of,企业逾期,2,2.1
审计疑点,instance_of,会计信息,2,2.1
审计疑点,instance_of,余额不符,2,2.1
审计疑点,instance_of,侵占保费,2,2.1
审计疑点,instance_of,侵占资产,2,2.1
审计疑点,instance_of,侵吞公款,2,2.1
审计疑点,instance_of,侵权假冒,2,2.1
审计疑点,instance_of,侵权获利,2,2.1
审计疑点,instance_of,保费不符,2,2.1
审计疑点,instance_of,信息不对,2,2.1
审计疑点,instance_of,信息不清,2,2.1
审计疑点,instance_of,信息不符,2,2.1
审计疑点,instance_of,信息失真,2,2.1
审计疑点,instance_of,借新偿旧,2,2.1
审计疑点,instance_of,借新还旧,2,2.1
审计疑点,instance_of,偷漏税款,2,2.1
审计疑点,instance_of,偷税欠税,2,2.1
审计疑点,instance_of,偷税漏稿,2,2.1
审计疑点,instance_of,偷稿漏税,2,2.1
审计疑点,instance_of,偷逃国宿,2,2.1
审计疑点,instance_of,偷逃收入,2,2.1
审计疑点,instance_of,偷逃税收,2,2.1
审计疑点,instance_of,偷逃税金,2,2.1
审计疑点,instance_of,偷逃税额,2,2.1
审计疑点,instance_of,偷逃车辆,2,2.1
审计疑点,instance_of,偷逃骗税,2,2.1
审计疑点,instance_of,偷逿税款,2,2.1
审计疑点,instance_of,先买后抵,2,2.1
审计疑点,instance_of,先建后补,2,2.1
审计疑点,instance_of,先征后退,2,2.1
审计疑点,instance_of,先放后检,2,2.1
审计疑点,instance_of,先来先领,2,2.1
审计疑点,instance_of,先进先出,2,2.1
审计疑点,instance_of,公款私存,2,2.1
审计疑点,instance_of,再次申报,2,2.1
审计疑点,instance_of,再次申请,2,2.1
审计疑点,instance_of,冒名借款,2,2.1
审计疑点,instance_of,利息不符,2,2.1
审计疑点,instance_of,利用住房,2,2.1
审计疑点,instance_of,单位欠缴,2,2.1
审计疑点,instance_of,单证不符,2,2.1
审计疑点,instance_of,参保人员,2,2.1
审计疑点,instance_of,参加年检,2,2.1
审计疑点,instance_of,反向开票,2,2.1
审计疑点,instance_of,发票不符,2,2.1
审计疑点,instance_of,变相列支,2,2.1
审计疑点,instance_of,台账不符,2,2.1
审计疑点,instance_of,同业存放,2,2.1
审计疑点,instance_of,名不符实,2,2.1
审计疑点,instance_of,名实不符,2,2.1
审计疑点,instance_of,含混不清,2,2.1
审计疑点,instance_of,呆取现金,2,2.1
审计疑点,instance_of,善意透支,2,2.1
审计疑点,instance_of,回函不符,2,2.1
审计疑点,instance_of,国有资产,2,2.1
审计疑点,instance_of,土地增值,2,2.1
审计疑点,instance_of,坐支利润,2,2.1
审计疑点,instance_of,坐支收入,2,2.1
审计疑点,instance_of,坐支现金,2,2.1
审计疑点,instance_of,坐收坐支,2,2.1
审计疑点,instance_of,填制不符,2,2.1
审计疑点,instance_of,墨守成规,2,2.1
审计疑点,instance_of,多提公积,2,2.1
审计疑点,instance_of,多计利润,2,2.1
审计疑点,instance_of,多计负债,2,2.1
审计疑点,instance_of,套出现金,2,2.1
审计疑点,instance_of,套利资金,2,2.1
审计疑点,instance_of,套取利息,2,2.1
审计疑点,instance_of,套取利润,2,2.1
审计疑点,instance_of,套取基本,2,2.1
审计疑点,instance_of,套取基金,2,2.1
审计疑点,instance_of,套取扶贫,2,2.1
审计疑点,instance_of,套取经费,2,2.1
审计疑点,instance_of,套取财政,2,2.1
审计疑点,instance_of,套期保值,2,2.1
审计疑点,instance_of,套牌假牌,2,2.1
审计疑点,instance_of,套转资金,2,2.1
审计疑点,instance_of,存在重大,2,2.1
审计疑点,instance_of,对账不符,2,2.1
审计疑点,instance_of,少付利息,2,2.1
审计疑点,instance_of,少作收入,2,2.1
审计疑点,instance_of,少列支出,2,2.1
审计疑点,instance_of,少列收入,2,2.1
审计疑点,instance_of,少列费用,2,2.1
审计疑点,instance_of,少征漏征,2,2.1
审计疑点,instance_of,少报利润,2,2.1
审计疑点,instance_of,少提折旧,2,2.1
审计疑点,instance_of,少收利息,2,2.1
审计疑点,instance_of,少收自备,2,2.1
审计疑点,instance_of,少汇收入,2,2.1
审计疑点,instance_of,少编收入,2,2.1
审计疑点,instance_of,少编预算,2,2.1
审计疑点,instance_of,少缴收入,2,2.1
审计疑点,instance_of,少计中央,2,2.1
审计疑点,instance_of,少计利润,2,2.1
审计疑点,instance_of,少计存款,2,2.1
审计疑点,instance_of,少计投资,2,2.1
审计疑点,instance_of,少计折旧,2,2.1
审计疑点,instance_of,少计提资,2,2.1
审计疑点,instance_of,少计收人,2,2.1
审计疑点,instance_of,少计收支,2,2.1
审计疑点,instance_of,少计收益,2,2.1
审计疑点,instance_of,少计计税,2,2.1
审计疑点,instance_of,少计费用,2,2.1
审计疑点,instance_of,少计资产,2,2.1
审计疑点,instance_of,少记收入,2,2.1
审计疑点,instance_of,帐外经营,2,2.1
审计疑点,instance_of,帐实不符,2,2.1
审计疑点,instance_of,帐帐不符,2,2.1
审计疑点,instance_of,并不完整,2,2.1
审计疑点,instance_of,库存周转,2,2.1
审计疑点,instance_of,应缴未缴,2,2.1
审计疑点,instance_of,延期审批,2,2.1
审计疑点,instance_of,异常变化,2,2.1
审计疑点,instance_of,强制保险,2,2.1
审计疑点,instance_of,征地审批,2,2.1
审计疑点,instance_of,征期申报,2,2.1
审计疑点,instance_of,循环冗余,2,2.1
审计疑点,instance_of,循环投保,2,2.1
审计疑点,instance_of,恶意造假,2,2.1
审计疑点,instance_of,截留存款,2,2.1
审计疑点,instance_of,抽回出资,2,2.1
审计疑点,instance_of,抽逃保金,2,2.1
审计疑点,instance_of,抽逃资金,2,2.1
审计疑点,instance_of,拒收现金,2,2.1
审计疑点,instance_of,拖延付款,2,2.1
审计疑点,instance_of,拖延资金,2,2.1
审计疑点,instance_of,拖延还款,2,2.1
审计疑点,instance_of,拖欠借款,2,2.1
审计疑点,instance_of,拖欠工资,2,2.1
审计疑点,instance_of,拖欠款项,2,2.1
审计疑点,instance_of,拖欠税款,2,2.1
审计疑点,instance_of,拖欠账款,2,2.1
审计疑点,instance_of,拖欠资金,2,2.1
审计疑点,instance_of,挤入成本,2,2.1
审计疑点,instance_of,挤列成本,2,2.1
审计疑点,instance_of,挤占基金,2,2.1
审计疑点,instance_of,挤占资金,2,2.1
审计疑点,instance_of,挪作私用,2,2.1
审计疑点,instance_of,挪用保费,2,2.1
审计疑点,instance_of,挪用基金,2,2.1
审计疑点,instance_of,挪用套利,2,2.1
审计疑点,instance_of,挪用现金,2,2.1
审计疑点,instance_of,挪用税款,2,2.1
审计疑点,instance_of,挪用财产,2,2.1
审计疑点,instance_of,挪用项目,2,2.1
审计疑点,instance_of,损公肥私,2,2.1
审计疑点,instance_of,损害公司,2,2.1
审计疑点,instance_of,控制不力,2,2.1
审计疑点,instance_of,提前征税,2,2.1
审计疑点,instance_of,提前收费,2,2.1
审计疑点,instance_of,提前申报,2,2.1
审计疑点,instance_of,提单质押,2,2.1
审计疑点,instance_of,提请年检,2,2.1
审计疑点,instance_of,提高采购,2,2.1
审计疑点,instance_of,擅自开立,2,2.1
审计疑点,instance_of,擅自设立,2,2.1
审计疑点,instance_of,擅自退出,2,2.1
审计疑点,instance_of,改作他用,2,2.1
审计疑点,instance_of,放假工资,2,2.1
审计疑点,instance_of,政府举借,2,2.1
审计疑点,instance_of,政府基金,2,2.1
审计疑点,instance_of,政府性基,2,2.1
审计疑点,instance_of,政府承接,2,2.1
审计疑点,instance_of,数字不符,2,2.1
审计疑点,instance_of,数据不准,2,2.1
审计疑点,instance_of,数据不实,2,2.1
审计疑点,instance_of,数据不符,2,2.1
审计疑点,instance_of,数据异常,2,2.1
审计疑点,instance_of,数量不符,2,2.1
审计疑点,instance_of,无担保资,2,2.1
审计疑点,instance_of,无票支出,2,2.1
审计疑点,instance_of,无记名投,2,2.1
审计疑点,instance_of,无证收费,2,2.1
审计疑点,instance_of,期初余额,2,2.1
审计疑点,instance_of,未按意见,2,2.1
审计疑点,instance_of,未按照规,2,2.1
审计疑点,instance_of,未按规范,2,2.1
审计疑点,instance_of,未按预算,2,2.1
审计疑点,instance_of,未提折旧,2,2.1
审计疑点,instance_of,未计收入,2,2.1
审计疑点,instance_of,未领工资,2,2.1
审计疑点,instance_of,查漏补缺,2,2.1
审计疑点,instance_of,查缺补漏,2,2.1
审计疑点,instance_of,标识不符,2,2.1
审计疑点,instance_of,洗成黑钱,2,2.1
审计疑点,instance_of,洗钱”线,2,2.1
审计疑点,instance_of,流于形式,2,2.1
审计疑点,instance_of,浪费资金,2,2.1
审计疑点,instance_of,涉企收费,2,2.1
审计疑点,instance_of,混入中央,2,2.1
审计疑点,instance_of,混合存放,2,2.1
审计疑点,instance_of,混同投资,2,2.1
审计疑点,instance_of,混存使用,2,2.1
审计疑点,instance_of,混存混放,2,2.1
审计疑点,instance_of,混库串库,2,2.1
审计疑点,instance_of,混淆保险,2,2.1
审计疑点,instance_of,混淆入库,2,2.1
审计疑点,instance_of,混淆列支,2,2.1
审计疑点,instance_of,混淆持牌,2,2.1
审计疑点,instance_of,混淆支出,2,2.1
审计疑点,instance_of,混淆税率,2,2.1
审计疑点,instance_of,混淆销售,2,2.1
审计疑点,instance_of,混管混用,2,2.1
审计疑点,instance_of,混级入库,2,2.1
审计疑点,instance_of,混编混岗,2,2.1
审计疑点,instance_of,混编预算,2,2.1
审计疑点,instance_of,漏征漏管,2,2.1
审计疑点,instance_of,环境统计,2,2.1
审计疑点,instance_of,生育津贴,2,2.1
审计疑点,instance_of,申报套取,2,2.1
审计疑点,instance_of,相互勾结,2,2.1
审计疑点,instance_of,相互挪用,2,2.1
审计疑点,instance_of,相互调账,2,2.1
审计疑点,instance_of,私分钱物,2,2.1
审计疑点,instance_of,私存私放,2,2.1
审计疑点,instance_of,私自收费,2,2.1
审计疑点,instance_of,种族歧视,2,2.1
审计疑点,instance_of,移作他用,2,2.1
审计疑点,instance_of,移出失信,2,2.1
审计疑点,instance_of,税务逾期,2,2.1
审计疑点,instance_of,突击列支,2,2.1
审计疑点,instance_of,结构不合,2,2.1
审计疑点,instance_of,结算不实,2,2.1
审计疑点,instance_of,结转下年,2,2.1
审计疑点,instance_of,结转两年,2,2.1
审计疑点,instance_of,编制不良,2,2.1
审计疑点,instance_of,编制虚假,2,2.1
审计疑点,instance_of,罚没支出,2,2.1
审计疑点,instance_of,罚没财物,2,2.1
审计疑点,instance_of,自批自退,2,2.1
审计疑点,instance_of,自收自支,2,2.1
审计疑点,instance_of,虚假冒领,2,2.1
审计疑点,instance_of,虚假出表,2,2.1
审计疑点,instance_of,虚假利润,2,2.1
审计疑点,instance_of,虚假发票,2,2.1
审计疑点,instance_of,虚假合资,2,2.1
审计疑点,instance_of,虚假套取,2,2.1
审计疑点,instance_of,虚假宣传,2,2.1
审计疑点,instance_of,虚假开据,2,2.1
审计疑点,instance_of,虚假成本,2,2.1
审计疑点,instance_of,虚假投资,2,2.1
审计疑点,instance_of,虚假报备,2,2.1
审计疑点,instance_of,虚假报账,2,2.1
审计疑点,instance_of,虚假报送,2,2.1
审计疑点,instance_of,虚假抵扣,2,2.1
审计疑点,instance_of,虚假拨款,2,2.1
审计疑点,instance_of,虚假支出,2,2.1
审计疑点,instance_of,虚假放贷,2,2.1
审计疑点,instance_of,虚假注资,2,2.1
审计疑点,instance_of,虚假票据,2,2.1
审计疑点,instance_of,虚假贷款,2,2.1
审计疑点,instance_of,虚假采购,2,2.1
审计疑点,instance_of,虚假验资,2,2.1
审计疑点,instance_of,虚列事实,2,2.1
审计疑点,instance_of,虚列人数,2,2.1
审计疑点,instance_of,虚列债权,2,2.1
审计疑点,instance_of,虚列冒估,2,2.1
审计疑点,instance_of,虚列发票,2,2.1
审计疑点,instance_of,虚列发行,2,2.1
审计疑点,instance_of,虚列土地,2,2.1
审计疑点,instance_of,虚列工程,2,2.1
审计疑点,instance_of,虚列广告,2,2.1
审计疑点,instance_of,虚列收入,2,2.1
审计疑点,instance_of,虚列涉农,2,2.1
审计疑点,instance_of,虚列经费,2,2.1
审计疑点,instance_of,虚列结转,2,2.1
审计疑点,instance_of,虚列虚报,2,2.1
审计疑点,instance_of,虚列虚支,2,2.1
审计疑点,instance_of,虚列负债,2,2.1
审计疑点,instance_of,虚列资产,2,2.1
审计疑点,instance_of,虚列还本,2,2.1
审计疑点,instance_of,虚列项目,2,2.1
审计疑点,instance_of,虚增当年,2,2.1
审计疑点,instance_of,虚增成本,2,2.1
审计疑点,instance_of,虚增申报,2,2.1
审计疑点,instance_of,虚增虚挂,2,2.1
审计疑点,instance_of,虚增财力,2,2.1
审计疑点,instance_of,虚增财政,2,2.1
审计疑点,instance_of,虚增资本,2,2.1
审计疑点,instance_of,虚开虚抵,2,2.1
审计疑点,instance_of,虚报基数,2,2.1
审计疑点,instance_of,虚报套取,2,2.1
审计疑点,instance_of,虚报涉农,2,2.1
审计疑点,instance_of,虚报申报,2,2.1
审计疑点,instance_of,虚报虚扣,2,2.1
审计疑点,instance_of,虚报财政,2,2.1
审计疑点,instance_of,虚报资料,2,2.1
审计疑点,instance_of,虚报重报,2,2.1
审计疑点,instance_of,虚构债权,2,2.1
审计疑点,instance_of,虚构利润,2,2.1
审计疑点,instance_of,虚构客户,2,2.1
审计疑点,instance_of,虚构成本,2,2.1
审计疑点,instance_of,虚构收入,2,2.1
审计疑点,instance_of,虚构现金,2,2.1
审计疑点,instance_of,虚构采购,2,2.1
审计疑点,instance_of,虚计损益,2,2.1
审计疑点,instance_of,虚购虚销,2,2.1
审计疑点,instance_of,虚转成本,2,2.1
审计疑点,instance_of,虚领工资,2,2.1
审计疑点,instance_of,行政事业,2,2.1
审计疑点,instance_of,表表不符,2,2.1
审计疑点,instance_of,计量有误,2,2.1
审计疑点,instance_of,讨价还价,2,2.1
审计疑点,instance_of,证券不符,2,2.1
审计疑点,instance_of,调节收入,2,2.1
审计疑点,instance_of,财政支付,2,2.1
审计疑点,instance_of,账单不符,2,2.1
审计疑点,instance_of,账卡不符,2,2.1
审计疑点,instance_of,账外保费,2,2.1
审计疑点,instance_of,账外列支,2,2.1
审计疑点,instance_of,账实一致,2,2.1
审计疑点,instance_of,账户不符,2,2.1
审计疑点,instance_of,账款不符,2,2.1
审计疑点,instance_of,货证不符,2,2.1
审计疑点,instance_of,贷款供个,2,2.1
审计疑点,instance_of,贷款周转,2,2.1
审计疑点,instance_of,贷款回补,2,2.1
审计疑点,instance_of,资产证券,2,2.1
审计疑点,instance_of,超产核算,2,2.1
审计疑点,instance_of,超支审批,2,2.1
审计疑点,instance_of,超期退税,2,2.1
审计疑点,instance_of,超赔分保,2,2.1
审计疑点,instance_of,越权担保,2,2.1
审计疑点,instance_of,越权收费,2,2.1
审计疑点,instance_of,越界审批,2,2.1
审计疑点,instance_of,跨省转移,2,2.1
审计疑点,instance_of,转为自用,2,2.1
审计疑点,instance_of,转作他用,2,2.1
审计疑点,instance_of,转做他用,2,2.1
审计疑点,instance_of,过度收费,2,2.1
审计疑点,instance_of,违反担保,2,2.1
审计疑点,instance_of,违法买卖,2,2.1
审计疑点,instance_of,违法担保,2,2.1
审计疑点,instance_of,违法放贷,2,2.1
审计疑点,instance_of,违规买卖,2,2.1
审计疑点,instance_of,违规借款,2,2.1
审计疑点,instance_of,违规借贷,2,2.1
审计疑点,instance_of,违规免征,2,2.1
审计疑点,instance_of,违规入股,2,2.1
审计疑点,instance_of,违规冒领,2,2.1
审计疑点,instance_of,违规出借,2,2.1
审计疑点,instance_of,违规出台,2,2.1
审计疑点,instance_of,违规出资,2,2.1
审计疑点,instance_of,违规列支,2,2.1
审计疑点,instance_of,违规发放,2,2.1
审计疑点,instance_of,违规发票,2,2.1
审计疑点,instance_of,违规取酬,2,2.1
审计疑点,instance_of,违规宣传,2,2.1
审计疑点,instance_of,违规征收,2,2.1
审计疑点,instance_of,违规征税,2,2.1
审计疑点,instance_of,违规承保,2,2.1
审计疑点,instance_of,违规报销,2,2.1
审计疑点,instance_of,违规抵顶,2,2.1
审计疑点,instance_of,违规拨付,2,2.1
审计疑点,instance_of,违规提取,2,2.1
审计疑点,instance_of,违规揽税,2,2.1
审计疑点,instance_of,违规支付,2,2.1
审计疑点,instance_of,违规放款,2,2.1
审计疑点,instance_of,违规放贷,2,2.1
审计疑点,instance_of,违规申报,2,2.1
审计疑点,instance_of,违规申领,2,2.1
审计疑点,instance_of,违规编制,2,2.1
审计疑点,instance_of,违规获利,2,2.1
审计疑点,instance_of,违规融资,2,2.1
审计疑点,instance_of,违规计提,2,2.1
审计疑点,instance_of,违规计算,2,2.1
审计疑点,instance_of,违规转拨,2,2.1
审计疑点,instance_of,违规退税,2,2.1
审计疑点,instance_of,违规透支,2,2.1
审计疑点,instance_of,违规采购,2,2.1
审计疑点,instance_of,连环担保,2,2.1
审计疑点,instance_of,退休年龄,2,2.1
审计疑点,instance_of,透支利息,2,2.1
审计疑点,instance_of,透支财政,2,2.1
审计疑点,instance_of,透支资金,2,2.1
审计疑点,instance_of,递延税款,2,2.1
审计疑点,instance_of,逾期审批,2,2.1
审计疑点,instance_of,逾期担保,2,2.1
审计疑点,instance_of,重复入账,2,2.1
审计疑点,instance_of,重复参保,2,2.1
审计疑点,instance_of,重复报送,2,2.1
审计疑点,instance_of,重复收费,2,2.1
审计疑点,instance_of,重复购置,2,2.1
审计疑点,instance_of,重大流失,2,2.1
审计疑点,instance_of,重新报送,2,2.1
审计疑点,instance_of,重新申报,2,2.1
审计疑点,instance_of,重新购买,2,2.1
审计疑点,instance_of,重新领取,2,2.1
审计疑点,instance_of,铺张浪费,2,2.1
审计疑点,instance_of,错收重收,2,2.1
审计疑点,instance_of,错误支付,2,2.1
审计疑点,instance_of,隐匿债务,2,2.1
审计疑点,instance_of,隐匿利润,2,2.1
审计疑点,instance_of,隐匿收入,2,2.1
审计疑点,instance_of,隐匿财产,2,2.1
审计疑点,instance_of,隐匿资产,2,2.1
审计疑点,instance_of,隐匿资金,2,2.1
审计疑点,instance_of,隐名投资,2,2.1
审计疑点,instance_of,隐瞒入党,2,2.1
审计疑点,instance_of,隐瞒收益,2,2.1
审计疑点,instance_of,隐瞒经营,2,2.1
审计疑点,instance_of,隐瞒财产,2,2.1
审计疑点,instance_of,隐瞒财力,2,2.1
审计疑点,instance_of,隐瞒采购,2,2.1
审计疑点,instance_of,非法买卖,2,2.1
审计疑点,instance_of,非法放贷,2,2.1
审计疑点,instance_of,非法物证,2,2.1
审计疑点,instance_of,非法获利,2,2.1
审计疑点,instance_of,非法融资,2,2.1
审计疑点,instance_of,非法采矿,2,2.1
审计疑点,instance_of,非法采砂,2,2.1
审计疑点,instance_of,项目现场,2,2.1
审计疑点,instance_of,颠倒倒扣,2,2.1
审计疑点,instance_of,骗取保函,2,2.1
审计疑点,instance_of,骗取冒领,2,2.1
审计疑点,instance_of,骗取审批,2,2.1
审计疑点,instance_of,骗取投资,2,2.1
审计疑点,instance_of,骗取票据,2,2.1
审计疑点,instance_of,骗取税款,2,2.1
审计疑点,instance_of,骗取资金,2,2.1
审计疑点,instance_of,骗取退税,2,2.1
审计疑点,instance_of,骗提套提,2,2.1
审计疑点,instance_of,骗税两年,2,2.1
审计疑点,instance_of,骗税抗税,2,2.1
审计疑点,instance_of,骗购发票,2,2.1
审计疑点,instance_of,高买低卖,2,2.1
审计疑点,instance_of,高息揽存,2,2.1
审计目标,instance_of,准确定性,2,2.1
审计目标,instance_of,合规范性,2,2.1
审计目标,instance_of,存货审计,2,2.1
审计目标,instance_of,存货计量,2,2.1
审计风险,instance_of,严控风险,2,2.1
审计风险,instance_of,低估风险,2,2.1
审计风险,instance_of,其它风险,2,2.1
审计风险,instance_of,再次测试,2,2.1
审计风险,instance_of,剩余风险,2,2.1
审计风险,instance_of,合于测试,2,2.1
审计风险,instance_of,固有风险,2,2.1
